FR86: cutterpillarzxF2overmindz39(272,165,825,568)
FR87: overmindzX39overmindz19(286,038,008,720)
FR88: overmindzX19cutterpillarzx2(306,838,514,804)
FR89: overmindzX34overmindz19(389,011,767,872)
FR90: overmindzX39overmindz34(354,375,861,684)
FR91: overmindzX13cutterpillar8(70,936,015,004)
FR92: cutterpillarF8overmindz13(70,935,506,132)
FR93: overmindzX34cutterpillar8(278,882,565,864)
FR94: overmindzX13overmindz34(249,403,069,976)
FR95: overmindzX31overmind15(219,958,405,268)
FR96: overmindX15overmind37(99,330,293,056)
FR97: overmindX37overmindz31(197,674,240,064)
FR98: overmindzX34overmind15(289,470,441,668)
FR99: overmindzX23overmindz24(124,091,655,364)
FR100: cutterpillarxF12cutterpillarx14(733,112,551,156)
FR101: overmindzX37cutterpillarx12(1,109,455,882,576)
FR102: cutterpillarxF14overmindz37(1,056,503,891,272)
FR103: overmindX37overmindz38(1,182,792,804,020)
FR104: overmindX38overmind35(289,560,870,060)
FR105: cutterpillarxF40overmindz10(3,284,543,650,360)
FR106: cutterpillarxF40overmindz11(3,489,164,517,596)
FR107: overmindzX10cutterpillarx40(3,284,585,277,016)
FR108: overmindzX11cutterpillarx40(3,489,204,293,084)
FR109: overmindzX10overmindz11(2,265,309,794,704)
FR110: overmindzX11overmindz10(2,265,307,943,536)
FR111: overmindX38overmind9(4,641,122,395,740)
FR112: overmindX36overmindz39(6,158,041,063,788)
FR113: overmindzX39overmind36(9,018,038,413,592)
FR114: overmindzX39cutterpillarz36(9,180,861,808,584)
FR115: overmindzX40overmindz27(11,728,229,855,792)

total energy: 133,891,156,887,586
